Category: All categories

Month,CS352: (United States),CS354: (United States),CS355: (United States),CS356: (United States),CS357: (United States)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,100,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,98,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,75,0
2006-09,75,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,47,0,0,0
2008-01,0,41,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,38,0,0
2008-10,0,0,0,0,0
2008-11,0,38,0,0,0
2008-12,0,0,0,37,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,32,32,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,31,0
2010-01,0,0,0,0,29
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,57
2010-05,0,0,0,0,0
2010-06,0,0,0,31,0
2010-07,0,0,0,0,0
2010-08,0,25,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,23,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,19,19
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,18,0,0,18
2011-06,0,0,0,19,0
2011-07,0,0,0,0,0
2011-08,0,17,0,0,17
2011-09,0,50,0,33,0
2011-10,0,16,0,0,16
2011-11,0,0,0,32,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,15,0,0,0
2012-03,0,0,0,0,0
2012-04,0,30,0,0,15
2012-05,0,28,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,14,14,0,14,0
2012-10,0,13,0,13,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,12,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,12,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,12,0
2013-07,0,0,0,0,12
2013-08,0,0,0,0,0
2013-09,12,35,12,23,0
2013-10,0,0,0,0,0
2013-11,12,0,0,12,0
2013-12,0,0,12,0,0
2014-01,0,0,0,0,0
2014-02,24,12,0,12,0
2014-03,11,0,0,0,11
2014-04,11,0,34,0,0
2014-05,0,0,0,12,12
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,13,0,0,0,0
2014-09,12,25,0,12,0
2014-10,0,0,0,0,0
2014-11,0,12,0,0,12
2014-12,0,0,12,0,0
2015-01,0,0,0,0,24
2015-02,0,25,0,25,13
2015-03,0,36,0,0,12
2015-04,0,12,0,0,36
2015-05,0,0,0,0,0
2015-06,0,0,0,13,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,12,0,0,0,0
2015-10,0,35,0,0,0
2015-11,0,0,0,24,0
2015-12,23,0,0,35,0
2016-01,0,19,0,0,0
2016-02,0,10,0,19,0
2016-03,9,0,0,0,0
2016-04,0,0,0,0,0
2016-05,10,0,0,0,10
2016-06,0,0,0,0,0
2016-07,10,0,0,0,0
2016-08,0,0,0,0,0
2016-09,19,0,0,0,10
2016-10,9,9,0,9,19
2016-11,19,9,9,0,0
2016-12,0,9,0,0,0
2017-01,9,0,0,0,17
2017-02,0,0,0,0,19
2017-03,41,16,0,0,8
2017-04,0,9,0,0,9
2017-05,18,0,0,9,18
2017-06,0,0,0,0,0
2017-07,19,10,10,0,0
2017-08,9,0,0,18,9
2017-09,0,0,0,9,18
2017-10,9,9,0,26,26
2017-11,0,0,0,0,9
2017-12,0,0,0,0,0
2018-01,8,0,0,0,25
2018-02,27,18,0,0,9
2018-03,8,0,0,0,8
2018-04,26,9,0,9,9
2018-05,0,0,0,17,0
2018-06,0,0,0,0,0
2018-07,0,0,0,0,0
2018-08,0,0,0,9,0
2018-09,0,9,0,9,18
2018-10,0,0,0,0,0
2018-11,9,0,0,0,9
2018-12,18,0,0,9,0
2019-01,25,17,0,0,0
2019-02,9,9,18,9,9
2019-03,25,0,0,0,8
2019-04,35,0,0,9,0
2019-05,0,0,0,0,0
2019-06,18,0,0,0,0
2019-07,9,0,0,0,0
2019-08,17,0,0,9,0
2019-09,0,0,0,16,0
2019-10,8,8,0,8,0
2019-11,16,8,0,0,8
2019-12,16,0,0,8,0
2020-01,7,0,0,0,0
2020-02,0,0,16,0,24
2020-03,14,0,0,7,7
2020-04,14,0,7,0,14
2020-05,13,0,0,0,7
2020-06,0,0,0,7,0
2020-07,0,0,0,0,0
2020-08,0,0,0,7,7
2020-09,7,7,0,7,14
2020-10,24,8,0,0,0
2020-11,16,0,0,0,0
2020-12,24,0,0,0,0
2021-01,0,8,0,0,0
2021-02,9,0,0,0,0
2021-03,8,0,0,0,0
2021-04,8,8,8,0,0
2021-05,8,0,0,0,0
2021-06,8,0,0,0,0
2021-07,0,0,0,0,0
2021-08,8,0,0,0,17
2021-09,9,9,0,0,9
2021-10,6,6,0,0,13
2021-11,19,0,0,0,0
2021-12,6,0,0,0,6
2022-01,9,0,0,0,9
