Category: All categories

Month,CS110A: (United States),CS110L: (United States),CS111: (United States),CS112: (United States),CS114: (United States)
2017-10,0,0,8,4,0
2017-11,0,0,4,9,0
2017-12,0,0,4,4,0
2018-01,0,0,12,0,0
2018-02,0,0,18,9,0
2018-03,0,0,8,0,0
2018-04,0,0,17,17,0
2018-05,0,0,21,4,0
2018-06,0,0,0,0,0
2018-07,0,0,4,0,4
2018-08,0,0,4,4,0
2018-09,0,0,9,4,4
2018-10,0,0,13,4,4
2018-11,0,0,4,4,0
2018-12,0,0,13,4,0
2019-01,0,0,25,0,8
2019-02,0,0,4,9,0
2019-03,0,0,8,13,0
2019-04,0,0,9,9,4
2019-05,0,0,13,0,0
2019-06,0,0,9,14,0
2019-07,0,0,9,0,0
2019-08,0,0,17,4,0
2019-09,0,0,8,8,0
2019-10,0,0,19,4,0
2019-11,0,0,0,12,0
2019-12,0,0,0,12,0
2020-01,0,0,0,4,0
2020-02,0,0,12,0,0
2020-03,0,0,21,7,3
2020-04,0,0,10,10,0
2020-05,0,0,13,3,3
2020-06,0,0,0,0,0
2020-07,0,0,4,0,0
2020-08,0,0,4,0,0
2020-09,0,0,0,0,0
2020-10,0,0,4,4,0
2020-11,0,0,4,0,0
2020-12,0,0,8,0,0
2021-01,0,0,0,0,0
2021-02,0,0,0,9,0
2021-03,0,0,8,4,0
2021-04,0,0,0,0,0
2021-05,0,0,0,0,0
2021-06,0,0,4,0,0
2021-07,0,0,0,4,0
2021-08,0,0,4,0,4
2021-09,0,0,13,4,0
2021-10,0,0,6,0,0
2021-11,0,0,0,0,6
2021-12,0,0,3,6,0
2022-01,0,0,9,0,0
