Category: All categories

Month,CS142: (United States),CS143: (United States),CS144: (United States),CS145: (United States),CS146: (United States)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,100
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,80,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,68,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,50,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,52,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,39,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,58,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,26,0,0
2008-04,0,26,52,0,0
2008-05,0,0,0,0,0
2008-06,0,0,28,0,0
2008-07,0,0,26,0,0
2008-08,0,0,0,0,0
2008-09,0,25,25,25,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,24,0
2009-01,23,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,21,0,0,0
2009-04,22,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,22,0,0
2009-07,0,0,0,0,0
2009-08,0,22,22,0,0
2009-09,0,0,21,0,0
2009-10,0,0,20,0,0
2009-11,0,0,20,41,0
2009-12,0,0,0,0,0
2010-01,0,0,19,0,0
2010-02,0,0,19,0,0
2010-03,0,0,0,0,0
2010-04,0,0,18,0,0
2010-05,0,0,38,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,16,0,32,0,0
2010-09,0,0,32,0,0
2010-10,0,0,60,0,0
2010-11,0,0,0,15,0
2010-12,0,15,30,0,0
2011-01,12,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,11,11,0,0
2011-04,0,12,0,0,0
2011-05,0,0,11,0,0
2011-06,0,12,0,12,0
2011-07,0,0,0,0,0
2011-08,0,0,22,0,0
2011-09,11,11,32,0,0
2011-10,0,0,10,10,0
2011-11,0,10,10,0,0
2011-12,0,0,10,0,0
2012-01,0,0,0,0,0
2012-02,0,0,28,9,9
2012-03,18,0,27,0,9
2012-04,0,9,9,0,0
2012-05,0,18,9,9,0
2012-06,0,0,0,0,0
2012-07,0,0,27,0,0
2012-08,0,0,0,0,0
2012-09,0,0,18,9,0
2012-10,0,0,8,0,8
2012-11,0,0,8,0,0
2012-12,0,0,25,0,0
2013-01,0,0,8,0,0
2013-02,0,8,8,0,8
2013-03,0,7,7,0,0
2013-04,15,8,15,0,8
2013-05,8,15,0,0,0
2013-06,16,0,24,0,0
2013-07,0,8,0,0,0
2013-08,0,0,23,0,0
2013-09,0,0,15,0,7
2013-10,7,0,7,22,0
2013-11,0,8,8,0,0
2013-12,0,7,22,7,0
2014-01,0,0,0,0,0
2014-02,31,0,15,8,0
2014-03,7,7,7,0,0
2014-04,7,0,22,0,0
2014-05,23,0,0,0,0
2014-06,0,9,9,0,0
2014-07,8,0,0,8,0
2014-08,0,8,0,16,0
2014-09,16,0,8,0,0
2014-10,8,8,15,0,0
2014-11,8,8,24,0,0
2014-12,8,0,24,0,0
2015-01,0,0,8,30,8
2015-02,16,8,8,8,0
2015-03,0,8,15,8,0
2015-04,8,8,15,8,0
2015-05,8,8,16,0,0
2015-06,8,0,0,0,0
2015-07,8,0,8,0,0
2015-08,0,0,8,0,0
2015-09,23,0,39,0,0
2015-10,0,0,22,15,7
2015-11,8,0,8,8,0
2015-12,0,8,15,0,0
2016-01,19,0,12,0,0
2016-02,0,6,19,6,19
2016-03,6,6,18,6,0
2016-04,12,6,24,6,6
2016-05,0,6,6,6,0
2016-06,0,13,13,0,0
2016-07,0,0,19,0,0
2016-08,0,0,20,0,0
2016-09,0,0,18,6,0
2016-10,0,0,6,6,0
2016-11,0,6,12,18,12
2016-12,6,6,23,0,0
2017-01,0,0,22,0,6
2017-02,12,0,30,6,6
2017-03,11,11,16,0,11
2017-04,17,17,0,0,6
2017-05,11,0,6,0,0
2017-06,0,6,0,0,0
2017-07,0,0,12,0,0
2017-08,0,6,0,11,0
2017-09,6,6,17,0,6
2017-10,0,5,0,11,0
2017-11,0,6,23,0,0
2017-12,11,0,23,17,0
2018-01,0,11,0,5,0
2018-02,12,6,12,6,0
2018-03,21,0,21,0,0
2018-04,5,11,22,0,0
2018-05,11,0,0,0,0
2018-06,6,0,0,0,0
2018-07,0,0,0,0,0
2018-08,0,0,11,0,0
2018-09,0,17,6,0,0
2018-10,0,0,6,6,0
2018-11,0,0,6,6,6
2018-12,0,0,11,6,0
2019-01,5,0,11,11,0
2019-02,6,12,0,0,12
2019-03,11,11,5,0,5
2019-04,6,0,11,6,0
2019-05,5,5,0,0,0
2019-06,6,0,12,0,0
2019-07,6,6,0,0,0
2019-08,0,0,11,5,0
2019-09,0,0,10,15,0
2019-10,0,0,5,0,0
2019-11,0,5,16,0,0
2019-12,0,0,5,0,0
2020-01,0,0,5,5,0
2020-02,0,10,10,0,5
2020-03,4,0,18,0,4
2020-04,4,0,17,4,0
2020-05,9,4,9,4,0
2020-06,5,9,0,5,0
2020-07,0,0,14,0,5
2020-08,0,0,9,0,0
2020-09,0,0,14,0,0
2020-10,5,0,0,5,5
2020-11,5,5,5,0,0
2020-12,0,0,10,0,0
2021-01,0,0,10,0,0
2021-02,6,11,11,0,0
2021-03,0,0,5,0,0
2021-04,5,5,16,0,0
2021-05,11,0,5,11,0
2021-06,0,0,5,0,0
2021-07,5,0,5,0,0
2021-08,0,0,11,0,0
2021-09,0,0,11,0,0
2021-10,0,0,4,8,0
2021-11,0,0,16,4,0
2021-12,0,0,8,0,4
2022-01,0,0,0,0,0
