Category: All categories

Month,CS1C: (United States),CS1U: (United States),CS7: (United States),CS9: (United States),CS11SI: (United States)
2015-01,0,0,17,3,0
2015-02,0,0,39,12,0
2015-03,0,0,26,9,0
2015-04,0,0,20,15,0
2015-05,0,0,12,6,0
2015-06,0,0,25,9,0
2015-07,0,0,25,15,0
2015-08,0,0,9,9,0
2015-09,0,0,6,9,0
2015-10,0,0,19,6,0
2015-11,0,0,12,12,0
2015-12,0,0,28,8,0
2016-01,0,0,30,5,0
2016-02,0,0,21,5,0
2016-03,0,0,20,13,0
2016-04,0,0,7,2,0
2016-05,0,0,14,0,0
2016-06,0,0,24,5,0
2016-07,0,0,22,5,0
2016-08,0,0,20,10,0
2016-09,0,0,9,7,0
2016-10,0,0,7,9,0
2016-11,0,0,18,0,0
2016-12,0,0,24,9,0
2017-01,0,0,25,6,0
2017-02,0,0,11,11,0
2017-03,0,0,14,6,0
2017-04,0,0,30,4,0
2017-05,0,0,11,6,0
2017-06,0,0,9,11,0
2017-07,0,0,14,11,0
2017-08,0,0,26,4,0
2017-09,0,0,17,2,0
2017-10,0,0,16,12,0
2017-11,0,0,13,6,0
2017-12,0,0,9,9,0
2018-01,0,0,18,4,0
2018-02,0,0,9,15,0
2018-03,0,0,24,8,0
2018-04,0,0,6,14,0
2018-05,0,0,8,2,0
2018-06,0,0,4,4,0
2018-07,0,0,15,6,0
2018-08,0,0,11,4,0
2018-09,0,0,19,2,0
2018-10,0,0,4,8,0
2018-11,0,0,4,6,0
2018-12,0,0,4,4,0
2019-01,0,0,18,4,0
2019-02,0,0,7,2,0
2019-03,0,0,14,6,0
2019-04,0,0,11,11,0
2019-05,0,0,6,4,0
2019-06,0,0,11,9,0
2019-07,0,0,8,6,0
2019-08,0,0,8,4,0
2019-09,0,0,4,6,0
2019-10,0,0,9,8,0
2019-11,0,0,8,6,0
2019-12,0,0,6,6,0
2020-01,0,0,7,7,0
2020-02,0,0,4,4,0
2020-03,0,0,8,0,0
2020-04,0,0,7,2,0
2020-05,0,0,8,0,0
2020-06,0,0,10,0,0
2020-07,0,0,9,5,0
2020-08,0,0,10,16,0
2020-09,0,0,2,2,0
2020-10,0,0,4,6,0
2020-11,0,0,10,2,0
2020-12,0,0,0,4,0
2021-01,0,0,8,4,0
2021-02,0,0,11,6,0
2021-03,0,0,4,6,0
2021-04,0,0,10,2,0
2021-05,0,0,2,4,0
2021-06,0,0,4,6,0
2021-07,0,0,10,4,0
2021-08,0,0,6,4,0
2021-09,0,0,9,15,0
2021-10,0,0,3,6,0
2021-11,0,0,3,6,0
2021-12,0,0,3,4,0
2022-01,0,0,13,13,0
